Useful regex
^;.*\([0-9]*,[0-9]*\)
Kondopoga(214,44)
Konigsberg(187,68)
Konigsberg-Port(186,69)
Kragujevac(188,96)
Kremenchuk(212,84)
Kristiansand(162,58)
Kristiansand-Port(163,58)
Kuwait(241,128)
Kuybyshev(245,72)
Lappeenranta(202,48)
Larissa(191,106)
Le Havre(147,82)
Le Havre-Port(146,82)
Le Mans(147,86)
Leeds(144,71)
Leningrad(206,52)
Leningrad-North(206,51)
Leningrad-Port(205,51)
Leningrad-SWPort(205,52)
Lille(153,80)
Lisbon(128,108)
Lisbon-Port(127,108)
Liverpool(141,72)
Liverpool-Port(140,72)
Ljubljana(176,91)
Lodz(185,77)
London(147,77)
London-Port(148,77)
Luga(205,56)
Lulea-Port(191,30)
Luxembourg(159,82)
Lwow(194,82)
Lyon(156,92)
Madrid(139,104)
Mainz(162,82)
Malta(175,114)
Malta-Port(175,115)
Malta-SEPort(176,115)
Manchester(142,72)
Mannheim(163,83)
Marseille(154,98)
Marseille(157,97)
Marseille-Port(157,98)
Marseilles(157,97)
Mekili(190,122)
Melilla(141,116)
Memel(188,66)
Mersa Matruh(200,124)
Milan(164,93)
Minsk(201,71)
Modlin(187,75)
Monaco(162,96)
Moscow(220,65)
Moscow(221,65)
Mostar(181,97)
Msus(188,124)
Munich(169,86)
Murmansk(211,16)
Nancy(158,85)
Naples(175,103)
Narva(202,54)
Narvik(181,18)
Narvik-Port(180,19)
Neustrelitz(172,73)
New York(10,104)
New York(11,103)
New York-Port(10,105)
Newcastle(143,67)
Nice(160,97)
Norfolk(5,111)
Norfolk-Port(6,112)
Nova Sad(185,93)
Novorossiysk(221,94)
Odessa(207,90)
Oran(145,115)
Orel(217,73)
Oslo(167,52)
Oslo-Port(167,53)
Ostrov(202,62)
Ottawa(6,93)
Oxford(144,77)
Palermo(173,109)
Paris(151,84)
Pec(186,99)
Perm(257,58)
Perpignan(152,99)
Petsamo(209,13)
Pittsburgh(1,104)
Plymouth-Port(137,80)
Pola-Port(174,95)
Polotsk(202,66)
Port Said(209,123)
Port Said-Port(209,122)
Porto(130,103)
Porto-Port(129,103)
Portsmouth(144,79)
Prague(175,81)
Pristina(188,99)
Proskurov(199,83)
Providence(15,101)
Przemysl(191,82)
Pskov(202,59)
Reims(154,83)
Rennes(143,86)
Repola(207,38)
Reykjavik(104,37)
Riga(194,62)
Rome(171,101)
Rostov(225,88)
Rouen(149,82)
Rzhev(214,64)
Salzburg(172,87)
Sarajevo(183,96)
Saratov(237,77)
Sevastopol(212,96)
Sheffield(144,73)
Siauliai(192,65)
Sidi Barrani(198,123)
Siedlice(190,76)
Sirte(179,124)
Skopje(189,101)
Smolensk(209,68)
Sofia(192,100)
Sortavala(207,45)
Sousse(167,114)
Southampton-Port
Southampton-Port(143,79)
Split(179,97)
St Nazaire(142,89)
St. John's(51,88)
Stalingrad(234,85)
Stalino(221,86)
Stavanger(158,55)
Stettin(175,72)
Stettin-Port(175,71)
Stockholm(182,54)
Strasbourg(162,85)
Suez(210,126)
Suez-Port(210,127)
Sverdlovsk(265,62)
Syracuse(176,112)
Syracuse-Port(177,112)
Tangier(136,116)
Taranto(179,104)
Taranto-Port(180,105)
Tartu(199,57)
Tbilisi(235,101)
Tehran(248,115)
The Hague(155,76)
Thessaloniki(192,104)
Tirana(185,102)
Tobruk(194,122)
Tobruk-Port(195,121)
Toronto(1,96)
Toulon(158,98)
Toulon-Port(158,99)
Trieste(174,92)
Trieste-Port(173,92)
Tripoli(172,121)
Tripoli-Port(172,120)
Tripoli-Syria(217,116)
Trondheim(167,40)
Tula(220,70)
Tunis(167,112)
Turin(162,94)
Turku(190,50)
UK(112)
Udine(172,91)
Uralsk(248,79)
Valencia(145,106)
Valencia-Port
Velikiye Luki(207,63)
Venice(171,93)
Verdun(157,83)
Vichy(154,91)
Vienna(179,86)
Vigo(129,100)
Vinnitsa(202,84)
Volkhov(210,52)
Voronezh(224,77)
Vyazma(214,67)
Vyborg(203,49)
Warsaw(188,76)
Washington DC(4,108)
Yanbu(221,136)
Ypres(153,78)
Ypres-Southeast(154,79)
Zagreb(178,92)
Zhitomir(203,81)
